shock_id,date,duration_months,magnitude,title,notes,source,confidence,reviewed_by
international_crisis,1930-01-01,36,0.85,"Gran Depresión (impacto en Argentina, 1930-1932)",Caída de exportaciones y precios agrícolas; detona la crisis fiscal que enmarca el golpe de 1930.,general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),medium,
drought,1951-06-01,12,0.6,Sequía de 1951-1952,Mala cosecha que agrava la crisis de balanza de pagos del segundo gobierno peronista.,general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),low,
currency_run,1975-06-04,6,0.9,Rodrigazo (junio de 1975),Devaluación (~100%) y shock de precios ordenado por el ministro Celestino Rodrigo bajo Isabel Perón; dispara la inflación a niveles de 3 dígitos anuales.,general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),high,
banking_crisis,1980-03-01,12,0.7,Crisis financiera de 1980-81 (caída del BIR y otros bancos),Primera gran crisis bancaria tras la liberalización financiera de 1977; antecede a la crisis de deuda de 1982.,general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),medium,
war,1982-04-02,3,0.8,Guerra de Malvinas,Conflicto bélico con el Reino Unido (abr-jun 1982); acelera la caída de la dictadura y agrava la crisis de deuda.,general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),high,
sovereign_default,1982-01-01,12,0.85,Crisis de la deuda externa de 1982,Argentina entra en la crisis regional de deuda latinoamericana (moratoria mexicana ago-1982); renegociaciones forzosas durante toda la década.,general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),medium,
hyperinflation_regime,1989-05-01,6,1.0,Hiperinflación de 1989,"Pico mensual de ~197% (jul-1989, IPC INDEC); saqueos y entrega anticipada del gobierno de Alfonsin. REVISOR (opus): el archivo decia '>200% mensual'.",general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),high,opus
hyperinflation_regime,1990-01-01,4,0.8,Segunda ola hiperinflacionaria de 1990,Nuevo brote inflacionario pese al Plan Bonex.,general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),high,
imf_program,1991-04-01,24,0.6,Plan de Convertibilidad + acuerdo con el FMI (1991),Estabilización monetaria (ley 23.928) acompañada de un programa del FMI; ancla nominal fuerte tras la hiperinflación.,general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),medium,
international_crisis,1994-12-20,6,0.5,"Efecto Tequila (crisis mexicana, dic-1994/1995)",Contagio financiero de la crisis mexicana; fuerte corrida de depósitos bajo convertibilidad.,general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),medium,
banking_crisis,1995-01-01,6,0.6,Corrida bancaria del efecto Tequila (1995),Caída de ~18% de los depósitos del sistema financiero argentino en pocos meses.,general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),medium,
commodity_boom,2003-01-01,60,0.7,Superciclo de commodities / boom sojero (2003-2008),Precios internacionales de la soja en máximos históricos; sostiene el superávit fiscal y comercial post-2002.,general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),medium,
international_crisis,2008-09-01,12,0.7,Crisis financiera global de 2008-2009,Recesión global tras la caída de Lehman Brothers; combinada con el conflicto por la Resolución 125 (retenciones móviles) internamente.,general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),high,
sovereign_default,2014-07-30,12,0.5,Default técnico de 2014 (litigio con fondos buitre),"Imposibilidad de pagar a bonistas reestructurados por orden judicial (Griesa, NY); se resuelve recién en 2016.",general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),high,
currency_run,2018-04-01,8,0.85,Corrida cambiaria de 2018,Fuerte salida de capitales y devaluación (~+100% anual); deriva en el stand-by récord con el FMI.,general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),high,
imf_program,2018-06-20,30,0.7,Stand-By récord con el FMI (2018),"Stand-By aprobado el 20-jun-2018 por USD ~50.000 M, ampliado a ~USD 56.300 M en oct-2018; el mayor de la historia del FMI hasta entonces. REVISOR (opus): el archivo daba 57.000 M como monto aprobado en junio.",general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),high,opus
currency_run,2019-08-11,4,0.7,Corrida cambiaria post-PASO (agosto de 2019),Fuerte devaluación y caída de activos tras el resultado adverso al oficialismo en las primarias de 2019.,general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),high,
epidemic,2020-03-20,24,0.9,Pandemia de COVID-19 / ASPO,Cuarentena estricta desde el 20-mar-2020; fuerte caída del PBI en 2020 (~-9.9%) y recuperación parcial en 2021.,general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),high,
imf_program,2022-03-25,30,0.5,Acuerdo de Facilidades Extendidas con el FMI (2022),Refinancia el stand-by de 2018; metas fiscales y de reservas trimestrales.,general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),high,
drought,2023-01-01,12,0.85,Sequía histórica de la campaña 2022/2023,La peor sequía en al menos 60 años; fuerte caída de la cosecha de soja y maíz y de las exportaciones agrícolas.,general_knowledge (analyst assessment de magnitud 0-1; fechas y ocurrencia son hechos publicos ampliamente documentados),high,
